,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,hit
107802,0.0421,0.726,190440,0.5539999999999999,0.0,0.106,-5.29,0.0917,169.99900000000002,0.335,True
107803,0.163,0.833,149520,0.539,2.1000000000000002e-06,0.10099999999999999,-7.399,0.17800000000000002,99.947,0.385,True
107804,0.578,0.725,178640,0.321,0.0,0.0884,-10.744000000000002,0.32299999999999995,70.142,0.319,True
107805,0.149,0.8370000000000001,213594,0.364,0.0,0.271,-11.713,0.276,123.984,0.46299999999999997,True
107806,0.556,0.76,158040,0.479,0.0,0.0703,-5.574,0.0466,89.911,0.9129999999999999,True
107807,0.00513,0.8340000000000001,312820,0.73,0.0,0.124,-3.714,0.222,155.00799999999998,0.446,True
107808,0.297,0.752,201661,0.488,9.11e-06,0.0936,-7.05,0.0705,136.041,0.5329999999999999,True
107809,0.0501,0.9,197487,0.4,0.0,0.0876,-8.443,0.124,136.001,0.33799999999999997,True
107810,0.45,0.741,171030,0.52,1.97e-06,0.222,-7.513,0.0656,102.99799999999999,0.34700000000000003,True
107811,0.78,0.647,171573,0.309,7.41e-06,0.20199999999999999,-7.9479999999999995,0.0366,87.045,0.195,True
107812,0.191,0.687,214290,0.792,0.0,0.16699999999999998,-2.7489999999999997,0.0452,100.015,0.6709999999999999,True
107813,0.451,0.747,182000,0.45799999999999996,0.0,0.252,-6.891,0.303,75.029,0.47,True
107814,0.28,0.7240000000000001,207333,0.647,0.0,0.102,-5.642,0.0658,106.96,0.435,True
107815,0.0765,0.596,229320,0.552,0.33399999999999996,0.10400000000000001,-10.277999999999999,0.09699999999999999,97.949,0.11199999999999999,True
107816,0.0436,0.846,181040,0.731,0.0,0.0949,-5.027,0.064,137.947,0.9329999999999999,True
107817,0.0815,0.758,216893,0.665,0.000157,0.21600000000000003,-5.188,0.0774,151.976,0.643,True
107818,0.0268,0.847,267107,0.579,0.0545,0.102,-5.314,0.0719,137.998,0.569,True
107819,0.17600000000000002,0.599,162583,0.733,0.0,0.242,-7.058,0.203,102.211,0.534,True
107820,0.32899999999999996,0.45,208880,0.619,0.0,0.319,-7.412000000000001,0.37200000000000005,83.3,0.42700000000000005,True
107821,0.354,0.68,231267,0.563,0.0,0.136,-5.843,0.0454,145.028,0.374,True
107822,0.37799999999999995,0.7290000000000001,212267,0.475,0.0,0.12,-4.985,0.0364,62.52,0.371,True
107823,0.0395,0.8370000000000001,288624,0.636,0.00125,0.342,-7.643,0.086,145.972,0.27399999999999997,True
107824,0.259,0.889,180522,0.496,0.0,0.252,-6.365,0.0905,86.00299999999999,0.544,True
107825,0.555,0.56,173800,0.68,0.0,0.11599999999999999,-7.648,0.321,89.391,0.319,True
107826,0.0642,0.747,200890,0.57,0.0,0.0832,-6.711,0.081,133.99200000000002,0.65,True
107827,0.10300000000000001,0.8959999999999999,145543,0.6709999999999999,0.0,0.552,-6.977,0.289,112.50200000000001,0.358,True
107828,0.17300000000000001,0.662,222947,0.6,0.00013700000000000002,0.109,-6.402,0.0703,134.97899999999998,0.331,True
107829,0.0691,0.7190000000000001,187436,0.7040000000000001,0.0,0.166,-4.724,0.0476,133.002,0.628,True
107830,0.371,0.5720000000000001,215733,0.385,0.0,0.231,-6.362,0.0308,95.79899999999999,0.32299999999999995,True
107831,0.74,0.652,169354,0.557,0.0,0.124,-5.7139999999999995,0.0318,150.07299999999998,0.483,True
107832,0.172,0.68,194520,0.5589999999999999,0.0,0.318,-5.545,0.129,202.00599999999997,0.13699999999999998,True
107833,0.28300000000000003,0.785,150043,0.5539999999999999,3.4e-06,0.11599999999999999,-6.571000000000001,0.0409,128.047,0.14400000000000002,True
107834,0.0521,0.861,228760,0.603,0.0,0.0924,-5.787999999999999,0.17600000000000002,98.04299999999999,0.504,True
107835,0.11699999999999999,0.5870000000000001,218147,0.535,6.56e-05,0.131,-6.09,0.0898,159.847,0.14,True
107836,0.6970000000000001,0.5529999999999999,196373,0.586,0.0,0.0813,-6.319,0.0362,126.684,0.44299999999999995,True
107837,0.0844,0.6709999999999999,140693,0.7140000000000001,1.48e-06,0.0568,-5.372999999999999,0.21,105.137,0.47700000000000004,True
107838,0.193,0.579,190947,0.904,0.0,0.064,-2.7289999999999996,0.0618,82.014,0.6809999999999999,True
107839,0.34600000000000003,0.638,180000,0.7170000000000001,0.0,0.105,-4.7219999999999995,0.0337,100.027,0.249,True
107840,0.737,0.483,203569,0.41200000000000003,0.0,0.11599999999999999,-8.461,0.0402,170.16299999999998,0.247,True
107841,0.0689,0.556,223347,0.5379999999999999,0.0,0.196,-5.4079999999999995,0.0382,143.95,0.29100000000000004,True
107842,0.099,0.816,253390,0.726,0.0,0.37200000000000005,-3.998,0.129,136.048,0.65,True
107843,0.04,0.6990000000000001,205920,0.713,3.11e-06,0.294,-5.507000000000001,0.0594,121.993,0.354,True
107844,0.58,0.7390000000000001,221440,0.5589999999999999,0.0,0.11199999999999999,-8.011000000000001,0.11699999999999999,140.124,0.439,True
107845,0.007909999999999999,0.51,226747,0.835,0.0,0.21899999999999997,-4.673,0.0447,140.024,0.435,True
107846,0.41600000000000004,0.575,217213,0.33,0.0,0.0872,-6.557,0.031,95.801,0.27699999999999997,True
107847,0.368,0.9009999999999999,203267,0.46399999999999997,1.7100000000000002e-05,0.23800000000000002,-9.789,0.0645,109.00399999999999,0.638,True
107848,0.19399999999999998,0.7290000000000001,183907,0.625,0.009859999999999999,0.248,-5.266,0.0315,146.034,0.261,True
107849,0.635,0.54,209547,0.439,1.93e-05,0.0993,-8.591000000000001,0.115,167.908,0.371,True
107850,0.0847,0.841,243837,0.728,0.0,0.149,-3.37,0.0484,130.049,0.43,True
107851,0.153,0.841,212500,0.7979999999999999,3.33e-06,0.0618,-4.206,0.22899999999999998,95.948,0.591,True
107852,0.39,0.853,221543,0.35100000000000003,9.38e-06,0.752,-10.198,0.24100000000000002,118.02799999999999,0.282,True
107853,0.19899999999999998,0.7979999999999999,202547,0.539,1.66e-05,0.165,-6.351,0.0421,136.94899999999998,0.39399999999999996,True
107854,0.0211,0.568,198160,0.6559999999999999,1.3699999999999998e-05,0.213,-5.412999999999999,0.0433,100.04899999999999,0.364,True
107855,0.0956,0.708,201707,0.648,0.0,0.134,-5.626,0.0449,143.955,0.33799999999999997,True
107856,0.0161,0.71,131064,0.789,2.77e-06,0.451,-3.8739999999999997,0.0722,142.929,0.7170000000000001,True
107857,0.149,0.88,172800,0.428,5.07e-05,0.114,-8.28,0.20600000000000002,100.007,0.33299999999999996,True
107858,0.00381,0.8,204665,0.578,0.0,0.359,-5.144,0.0485,143.01,0.36700000000000005,True
107859,0.535,0.752,197437,0.505,2.55e-06,0.10400000000000001,-7.621,0.253,91.97,0.419,True
107860,0.0969,0.574,182623,0.758,0.0,0.395,-5.029,0.0621,144.111,0.49200000000000005,True
107861,0.0236,0.884,232959,0.5589999999999999,0.0,0.10099999999999999,-7.442,0.12,97.994,0.342,True
107862,0.215,0.63,220293,0.804,0.0,0.253,-4.183,0.0363,123.146,0.49200000000000005,True
107863,0.17800000000000002,0.8440000000000001,244941,0.513,0.0,0.0845,-8.769,0.335,128.085,0.344,True
107864,0.0558,0.575,197947,0.5710000000000001,0.0,0.0912,-7.906000000000001,0.0439,105.04899999999999,0.449,True
107865,0.0332,0.754,198973,0.449,8.290000000000001e-05,0.552,-9.211,0.109,77.169,0.35700000000000004,True
107866,0.047,0.643,163870,0.7829999999999999,0.0,0.083,-6.457999999999999,0.0856,154.084,0.579,True
107867,0.479,0.9359999999999999,241440,0.5589999999999999,0.0,0.129,-8.591000000000001,0.158,112.339,0.517,True
107868,0.0233,0.602,197547,0.6579999999999999,5.9999999999999995e-05,0.237,-5.934,0.0558,145.031,0.268,True
107869,0.166,0.613,223543,0.6,0.0,0.11699999999999999,-7.097,0.154,147.059,0.532,True
107870,0.009470000000000001,0.48700000000000004,270715,0.789,4.05e-06,0.18899999999999997,-3.69,0.044000000000000004,150.007,0.0564,True
107871,0.5429999999999999,0.645,166101,0.568,0.266,0.257,-9.127,0.0823,84.999,0.391,True
107872,0.33,0.736,219080,0.449,0.000162,0.0898,-11.462,0.425,80.126,0.326,True
107873,0.36700000000000005,0.61,201788,0.725,0.0,0.154,-5.131,0.15,146.16299999999998,0.29100000000000004,True
107874,0.46,0.695,179172,0.573,0.0734,0.48200000000000004,-8.597000000000001,0.106,99.939,0.408,True
107875,0.32299999999999995,0.826,238200,0.773,0.0,0.14300000000000002,-4.218,0.0524,126.899,0.7609999999999999,True
107876,0.40399999999999997,0.541,158027,0.46799999999999997,3.65e-06,0.358,-4.039,0.36200000000000004,95.266,0.69,True
107877,0.00987,0.601,217467,0.794,1.36e-06,0.38799999999999996,-5.843999999999999,0.0671,114.066,0.244,True
107878,0.409,0.78,167898,0.828,0.0,0.10400000000000001,-2.235,0.237,160.113,0.7859999999999999,True
107879,0.0484,0.6559999999999999,141587,0.542,0.0,0.126,-7.358,0.32299999999999995,166.111,0.551,True
107880,0.183,0.652,263014,0.6779999999999999,3.26e-05,0.106,-6.183,0.0541,72.98899999999999,0.28,True
107881,0.0337,0.6629999999999999,174800,0.708,0.0,0.0841,-4.154,0.0473,103.073,0.742,True
107882,0.00281,0.63,195519,0.6940000000000001,0.0,0.0719,-6.257000000000001,0.0253,97.005,0.21600000000000003,True
107883,0.175,0.514,150333,0.618,0.0,0.11699999999999999,-4.585,0.0317,84.259,0.401,True
107884,0.0012699999999999999,0.9640000000000001,154024,0.48700000000000004,6.57e-06,0.115,-6.071000000000001,0.42100000000000004,127.05,0.107,True
107885,0.0531,0.763,190557,0.628,0.0,0.114,-5.85,0.05,140.958,0.193,True
107886,0.302,0.696,292987,0.521,0.0,0.0565,-8.465,0.332,100.0,0.45799999999999996,True
107887,0.588,0.81,208293,0.353,0.0,0.102,-9.931000000000001,0.31,88.031,0.0727,True
